0376_L,9.91E-01,8.34E-03,2.80E-05,3.85E-04,9.92E-01,7.63E-03,6.82E-07,3.40E-05,1.00E+00,1.36E-04,6.67E-07,4.01E-05,9.99E-01,7.25E-04,3.55E-10,2.98E-09
0303_RRRR,5.10E-08,1.66E-04,3.42E-01,6.58E-01,1.07E-08,3.38E-05,1.68E-03,9.98E-01,2.75E-10,2.08E-06,3.48E-02,9.65E-01,4.71E-10,3.22E-06,1.90E-01,8.10E-01
0810_RRRRRR,8.47E-08,6.00E-07,1.85E-06,1.00E+00,4.13E-12,3.04E-09,3.13E-08,1.00E+00,5.22E-16,9.90E-14,2.50E-08,1.00E+00,2.74E-22,3.71E-19,1.10E-13,1.00E+00
1325_LLL,1.37E-01,8.54E-01,2.32E-04,9.11E-03,9.33E-06,1.00E+00,1.38E-04,1.33E-04,4.06E-05,9.57E-01,3.46E-02,8.38E-03,4.74E-04,9.99E-01,1.78E-05,1.01E-05
1393_LLL,7.75E-05,1.50E-01,8.41E-01,9.25E-03,1.36E-09,2.86E-05,1.00E+00,1.62E-04,8.84E-07,2.11E-03,9.37E-01,6.04E-02,1.16E-06,4.65E-03,9.92E-01,3.45E-03
1527_LLLLL,8.49E-07,1.56E-07,3.81E-06,1.00E+00,9.50E-06,1.22E-05,4.37E-06,1.00E+00,1.26E-05,3.18E-05,4.01E-04,1.00E+00,2.07E-18,4.98E-16,2.42E-11,1.00E+00
2644_R,9.97E-01,3.13E-03,4.74E-08,5.30E-06,9.94E-01,5.59E-03,3.94E-09,5.74E-06,1.00E+00,8.54E-05,1.17E-07,1.29E-05,9.94E-01,5.76E-03,5.72E-08,1.35E-07
2673_R,9.99E-01,1.16E-03,1.12E-08,1.95E-06,8.74E-01,1.26E-01,1.88E-07,2.87E-05,1.00E+00,9.52E-05,9.27E-08,9.03E-06,9.97E-01,3.21E-03,4.91E-10,2.28E-09
0321_L,0.6734583,0.32464868,0.00095489,0.0009381,4.03E-01,5.96E-01,3.07E-06,3.61E-05,0.6673983,0.32935745,0.00169116,0.0015531,9.77E-01,2.29E-02,1.44E-06,6.86E-06
1922_LLLLLL,7.49E-11,1.12E-08,9.10E-07,1.00E+00,7.20E-11,1.91E-09,3.17E-09,1.00E+00,3.39E-16,4.58E-14,1.32E-08,1.00E+00,1.20E-19,3.23E-17,2.08E-13,1.00E+00
0540_RRRRR,7.37E-03,1.38E-03,1.59E-04,9.91E-01,7.07E-08,2.53E-08,6.05E-09,1.00E+00,1.08E-11,2.44E-11,6.73E-10,1.00E+00,9.10E-18,4.41E-14,1.00E-07,1.00E+00
0596_RRRRRRRRRRRRR,8.43E-05,1.70E-04,4.45E-04,9.99E-01,2.61E-07,2.13E-06,2.73E-07,1.00E+00,5.77E-11,1.37E-10,3.78E-07,1.00E+00,2.90E-21,1.21E-19,1.67E-16,1.00E+00
2067_LLLL,1.63E-06,2.59E-05,7.98E-03,9.92E-01,4.19E-07,3.02E-04,2.33E-04,9.99E-01,7.01E-09,3.89E-06,2.48E-02,9.75E-01,9.87E-12,2.05E-09,1.92E-05,1.00E+00
0280_L,9.44E-01,5.10E-02,2.10E-04,4.70E-03,1.00E+00,1.59E-04,3.44E-09,2.18E-05,1.00E+00,1.73E-05,1.08E-07,1.04E-04,9.99E-01,1.15E-03,1.78E-10,1.46E-09
1821_RRRRRRR,2.49E-11,8.08E-10,2.21E-08,1.00E+00,9.39E-07,9.69E-08,5.49E-11,1.00E+00,1.54E-10,5.99E-09,9.91E-10,1.00E+00,9.83E-23,7.87E-20,2.11E-13,1.00E+00
0033_RRRR,4.54E-09,1.97E-05,1.00E+00,2.67E-04,9.81E-10,1.28E-05,9.99E-01,5.82E-04,2.76E-12,7.44E-09,1.00E+00,3.71E-04,1.62E-08,1.14E-04,8.43E-01,1.57E-01
0596_RRRRRRRRR,2.55E-04,7.60E-04,8.19E-04,9.98E-01,4.57E-08,3.98E-05,2.61E-06,1.00E+00,5.77E-14,9.90E-12,2.52E-06,1.00E+00,2.74E-14,2.44E-13,2.42E-12,1.00E+00
1203_R,0.00447133,0.00178126,0.18476455,0.80898285,0.00403073,0.00657318,0.0657015,0.92369455,5.74E-07,3.97E-08,2.45E-02,9.75E-01,4.50E-04,3.83E-02,9.33E-01,2.82E-02
2159_LLLLLLL,7.19E-11,1.38E-08,1.49E-06,1.00E+00,8.48E-08,6.62E-06,4.69E-07,1.00E+00,1.10E-11,3.53E-07,1.88E-05,1.00E+00,8.82E-17,1.74E-15,1.29E-13,1.00E+00
1027_RR,0.00200999,0.9819354,0.00478335,0.0112713,1.69E-05,9.97E-01,1.52E-03,1.52E-03,6.37E-04,9.73E-01,9.71E-03,1.70E-02,4.41E-04,9.63E-01,3.62E-02,2.88E-04
1189_RRRRRRRRRRRR,3.36E-10,3.13E-09,1.83E-09,1.00E+00,5.37E-08,7.57E-08,8.52E-10,1.00E+00,3.98E-14,3.09E-16,2.98E-15,1.00E+00,6.32E-17,4.17E-16,3.22E-16,1.00E+00
0810_R,1.76E-03,3.96E-05,4.24E-04,9.98E-01,2.27E-03,7.16E-05,1.48E-05,9.98E-01,8.11E-07,2.34E-09,6.86E-07,1.00E+00,1.50E-12,5.50E-10,2.25E-05,1.00E+00
2361_LLLL,1.30E-08,3.11E-03,9.96E-01,4.16E-04,1.18E-07,1.25E-02,9.86E-01,1.57E-03,5.39E-11,1.51E-04,9.99E-01,5.12E-04,2.87E-08,1.92E-03,9.97E-01,7.42E-04
2649_RR,4.14E-10,1.50E-05,1.00E+00,2.83E-05,1.83E-10,6.04E-05,1.00E+00,1.11E-04,1.18E-13,1.49E-08,1.00E+00,1.08E-04,1.41E-08,1.17E-03,9.97E-01,2.01E-03
2260_R,9.98E-01,2.07E-03,1.57E-07,5.22E-05,9.96E-01,4.16E-03,1.82E-09,3.80E-06,1.00E+00,2.20E-05,2.36E-08,7.57E-06,7.82E-01,2.17E-01,1.04E-03,2.74E-04
